time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010458350000	-10.4117	-6.87706	5.0753	3.86612	-0.275482	radar	0.815995	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046
1477010458450000	-10.838	-7.12959	5.0857	3.80762	-0.305257	radar	0.859864	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916
1477010458550000	-11.2029	-7.43476	4.97536	3.78414	-0.299291	radar	0.727048	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015
1477010458650000	-11.5942	-7.68402	4.91588	3.74441	-0.308886	radar	0.967313	-11.4213	-7.46085	-11.6304	-7.78849	-4.19066	-2.71349
1477010458750000	-11.9816	-7.92748	4.66363	3.7088	-0.313911	radar	0.730831	-11.9422	-7.88317	-12.0546	-8.05131	-4.28682	-2.53924
1477010458850000	-12.4232	-8.16514	5.0525	3.66891	-0.320102	radar	1.87563	-12.4462	-8.02117	-12.4881	-8.29633	-4.37802	-2.35756
1477010458950000	-12.8381	-8.3522	4.70788	3.62237	-0.334965	radar	1.64512	-12.7461	-8.19449	-12.9304	-8.5228	-4.4636	-2.16863
1477010459050000	-13.3503	-8.52702	4.96714	3.5646	-0.353879	radar	2.4729	-13.7929	-8.47158	-13.381	-8.73002	-4.54289	-1.97267
1477010459150000	-13.7901	-8.6147	4.60469	3.49684	-0.385533	radar	2.94119	-13.6376	-8.26344	-13.8392	-8.91729	-4.61524	-1.76997
1477010459250000	-14.2803	-8.78801	5.03112	3.46201	-0.377206	radar	2.34176	-14.4737	-8.79552	-14.3043	-9.08395	-4.68001	-1.56086
1477010459350000	-14.7012	-9.00917	4.85251	3.45104	-0.357204	radar	0.85847	-14.5757	-9.32634	-14.7754	-9.22939	-4.73658	-1.34573
1477010459450000	-15.1919	-9.22312	4.89416	3.43309	-0.34216	radar	4.66048	-15.6189	-9.69365	-15.2517	-9.35302	-4.78436	-1.125
1477010459550000	-15.6777	-9.32264	4.68214	3.38398	-0.357278	radar	1.41707	-15.9382	-9.35751	-15.7324	-9.45431	-4.82275	-0.899159
1477010459650000	-16.2247	-9.28659	4.73071	3.29624	-0.399332	radar	1.4747	-16.6033	-8.85459	-16.2164	-9.53277	-4.85124	-0.668734
1477010459750000	-16.6009	-9.38449	4.60851	3.2761	-0.3849	radar	3.84866	-16.011	-9.33486	-16.7027	-9.58797	-4.8693	-0.434301
1477010459850000	-16.9836	-9.72802	4.73373	3.33446	-0.304993	radar	7.75122	-16.9255	-10.8571	-17.1903	-9.61954	-4.87646	-0.196479
1477010459950000	-17.5397	-9.68962	4.67697	3.25748	-0.343302	radar	3.09562	-18.1371	-9.39146	-17.6781	-9.62717	-4.87232	0.0440703
1477010460050000	-18.0597	-9.59891	4.59378	3.175	-0.383788	radar	1.09705	-18.3083	-9.18778	-18.1648	-9.61064	-4.85648	0.286648
1477010460150000	-18.4926	-9.63299	4.7171	3.15259	-0.366983	radar	1.07802	-18.2443	-9.58547	-18.6493	-9.56977	-4.82864	0.530522
1477010460250000	-18.9657	-9.52913	4.79447	3.08965	-0.384758	radar	3.01762	-18.6983	-9.02886	-19.1305	-9.50447	-4.78851	0.774927
1477010460350000	-19.4948	-9.31373	4.66228	2.98733	-0.440385	radar	1.78597	-19.7037	-8.79906	-19.6069	-9.41472	-4.73591	1.01907
1477010460450000	-20.0839	-8.8976	4.88056	2.84134	-0.515566	radar	5.0459	-20.3815	-7.6755	-20.0775	-9.30061	-4.67066	1.26215
1477010460550000	-20.4914	-8.97173	4.84655	2.86576	-0.452699	radar	2.81707	-20.4587	-9.7448	-20.5409	-9.16227	-4.59271	1.50334
1477010460650000	-21.0298	-8.72792	4.91766	2.7892	-0.477343	radar	2.47107	-21.5568	-8.5005	-20.9959	-8.99994	-4.50202	1.74179
1477010460750000	-21.5172	-8.53343	4.889	2.73386	-0.486945	radar	1.65622	-21.8628	-8.64129	-21.4412	-8.81393	-4.39865	1.97666
1477010460850000	-21.9794	-8.09553	4.80287	2.60844	-0.557043	radar	3.32897	-21.9514	-7.41274	-21.8754	-8.60465	-4.2827	2.20712
1477010460950000	-22.3752	-7.88109	4.97124	2.58248	-0.517105	radar	1.88204	-22.1914	-7.70392	-22.2975	-8.37258	-4.15437	2.43232
1477010461050000	-22.6972	-7.82725	4.70162	2.58112	-0.484472	radar	1.86731	-22.3177	-8.57758	-22.7061	-8.11829	-4.01391	2.65145
1477010461150000	-23.0517	-7.703	4.34622	2.5512	-0.486837	radar	3.61489	-23.2693	-8.32031	-23.1	-7.84243	-3.86163	2.8637
1477010461250000	-23.4559	-7.36152	4.70306	2.49754	-0.475069	radar	1.62466	-23.473	-7.02103	-23.4781	-7.54572	-3.69792	3.06828
1477010461350000	-23.8657	-6.95848	4.86189	2.42945	-0.486791	radar	0.495164	-24.0505	-6.56968	-23.8393	-7.22897	-3.52321	3.26445
